gene_symbol,expr_val
0610005C13Rik,0
0610009B22Rik,0
0610009O20Rik,0
0610010F05Rik,0
0610010K14Rik,0
0610012D04Rik,0
0610012G03Rik,2
0610025J13Rik,0
0610030E20Rik,0
0610031O16Rik,0
0610033M10Rik,0
0610037L13Rik,0
0610038B21Rik,0
0610039K10Rik,0
0610040B10Rik,0
0610040F04Rik,0
0610040J01Rik,0
0610043K17Rik,0
1110002E22Rik,0
1110002J07Rik,0
1110002L01Rik,0
1110004E09Rik,0
1110004F10Rik,1
1110006O24Rik,0
1110008F13Rik,3
1110008L16Rik,0
1110008P14Rik,0
1110012L19Rik,0
1110017D15Rik,0
1110019B22Rik,0
1110019D14Rik,0
1110020A21Rik,0
1110032A03Rik,0
1110032F04Rik,0
1110034G24Rik,0
1110035H17Rik,0
1110038F14Rik,1
1110046J04Rik,1
1110051M20Rik,0
1110059E24Rik,0
1110059G10Rik,0
1110065P20Rik,0
1190001M18Rik,0
1190002N15Rik,2
1190005I06Rik,0
1190007I07Rik,0
1200007C13Rik,0
1300002E11Rik,1
1300014J16Rik,0
1300017J02Rik,0
1500002C15Rik,0
1500009C09Rik,0
1500009L16Rik,0
1500011B03Rik,0
1500011K16Rik,1
1500015A07Rik,1
1500015O10Rik,0
1500035N22Rik,0
1600002K03Rik,1
1600010M07Rik,0
1600012H06Rik,0
1600014C10Rik,0
1600014C23Rik,0
1600019K03Rik,0
1600020E01Rik,0
1700001J03Rik,0
1700001K19Rik,0
1700001L05Rik,0
1700001L19Rik,0
1700001O22Rik,0
1700001P01Rik,0
1700003E16Rik,0
1700003F12Rik,0
1700003I16Rik,0
1700006J14Rik,0
1700007K13Rik,0
1700008B11Rik,0
1700008J07Rik,0
1700010H22Rik,0
1700010I14Rik,0
1700011C11Rik,0
1700011D18Rik,0
1700012B09Rik,1
1700013D24Rik,0
1700014D04Rik,0
1700015F17Rik,0
1700015I17Rik,0
1700015O11Rik,0
1700016C15Rik,0
1700016F12Rik,0
1700016G14Rik,0
1700016G22Rik,0
1700017B05Rik,1
1700017D01Rik,0
1700017M07Rik,0
1700017N19Rik,0
1700018L02Rik,0
1700019D03Rik,0
1700019E08Rik,0
1700019J19Rik,0
1700019L13Rik,0
1700019P21Rik,0
1700020A23Rik,0
1700020D05Rik,0
1700020I14Rik,2
1700020L24Rik,0
1700020N01Rik,0
1700021A07Rik,0
1700021F05Rik,0
1700021F13Rik,0
1700022I11Rik,0
1700022N22Rik,0
1700023F06Rik,0
1700024B18Rik,0
1700025G04Rik,1
1700025N21Rik,0
1700025N23Rik,0
1700026D11Rik,0
1700027H10Rik,0
1700027J07Rik,0
1700028I16Rik,0
1700028J19Rik,0
1700029H14Rik,0
1700029I15Rik,0
1700029J07Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030J22Rik,0
1700030K09Rik,0
1700030N03Rik,0
1700034E13Rik,0
1700034H15Rik,0
1700034I23Rik,0
1700034P13Rik,0
1700036A12Rik,0
1700037C18Rik,0
1700037F03Rik,0
1700037H04Rik,0
1700039M15Rik,0
1700040F17Rik,0
1700040L08Rik,0
1700041G16Rik,0
1700042O10Rik,0
1700047I17Rik2,0
1700047M11Rik,0
1700048O20Rik,0
1700052K11Rik,0
1700055D18Rik,0
1700056E22Rik,0
1700056N10Rik,1
1700057G04Rik,0
1700057H21Rik,0
1700058P15Rik,0
1700061E18Rik,0
1700061G19Rik,0
1700061I17Rik,0
1700061N14Rik,0
1700062C10Rik,0
1700064H15Rik,0
1700064M15Rik,0
1700065D16Rik,0
1700066B17Rik,0
1700066B19Rik,0
1700066M21Rik,0
1700067K01Rik,0
1700069B07Rik,0
1700071M16Rik,0
1700072G22Rik,0
1700084C06Rik,0
1700084E18Rik,0
1700086D15Rik,0
1700086O06Rik,0
1700086P04Rik,0
1700088E04Rik,0
1700092M07Rik,0
1700093K21Rik,0
1700094J05Rik,0
1700095J03Rik,0
1700095J07Rik,0
1700096K18Rik,0
1700099I09Rik,0
1700102H20Rik,0
1700102P08Rik,0
1700104B16Rik,0
1700105P06Rik,0
1700109G14Rik,0
1700109H08Rik,0
1700110K17Rik,0
1700112D23Rik,0
1700112H15Rik,0
1700112J16Rik,0
1700113A16Rik,0
1700119I11Rik,0
1700123O20Rik,1
1700124L16Rik,0
1700125H20Rik,0
1810006J02Rik,0
1810007D17Rik,0
1810008I18Rik,0
1810009A15Rik,0
1810009J06Rik,0
1810010D01Rik,0
1810010H24Rik,0
1810011H11Rik,0
1810012K16Rik,0
1810013L24Rik,0
1810021B22Rik,0
1810022K09Rik,3
1810024B03Rik,0
1810030O07Rik,1
1810032O08Rik,0
1810034E14Rik,0
1810037I17Rik,6
1810041H14Rik,0
1810043G02Rik,0
1810044D09Rik,0
1810049J17Rik,0
1810055G02Rik,3
1810058I24Rik,0
1810062G17Rik,0
1810062O18Rik,0
2010005H15Rik,0
2010007H06Rik,0
2010009K17Rik,0
2010013B24Rik,0
2010015M23Rik,0
2010107E04Rik,10
2010109A12Rik,0
2010109I03Rik,0
2010110E17Rik,0
2010111I01Rik,0
2010300C02Rik,0
2010300F17Rik,0
2010308F09Rik,0
2010309G21Rik,0
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,0
2200002D01Rik,0
2200002J24Rik,0
2210008F06Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210016F16Rik,0
2210016L21Rik,0
2210039B01Rik,0
2210406O10Rik,0
2210408I21Rik,0
2210414B05Rik,0
2210417A02Rik,0
2210418O10Rik,0
2300009A05Rik,1
2310001H17Rik,0
2310001K24Rik,0
2310002D06Rik,0
2310002L09Rik,0
2310007B03Rik,0
2310008N11Rik,0
2310009B15Rik,1
2310011J03Rik,1
2310015D24Rik,0
2310022A10Rik,1
2310022B05Rik,1
2310026I22Rik,0
2310026L22Rik,0
2310030G06Rik,0
2310031A07Rik,0
2310033P09Rik,0
2310034G01Rik,0
2310034O05Rik,0
2310035C23Rik,0
2310039H08Rik,0
2310039L15Rik,0
2310040G07Rik,0
2310040G24Rik,0
2310043L19Rik,0
2310043M15Rik,0
2310043O21Rik,0
2310044K18Rik,0
2310047D07Rik,0
2310057M21Rik,0
2310061I04Rik,0
2310065F04Rik,0
2310067P03Rik,0
2310068J16Rik,0
2310069B03Rik,0
2310074N15Rik,0
2310075C17Rik,0
2310081O03Rik,0
2410002F23Rik,0
2410004B18Rik,1
2410004I01Rik,0
2410004P03Rik,0
2410015M20Rik,6
2410018L13Rik,0
2410021H03Rik,0
2410080I02Rik,0
2410089E03Rik,0
2410131K14Rik,0
2510002D24Rik,0
2510009E07Rik,0
2510017J16Rik,0
2510039O18Rik,3
2510046G10Rik,0
2600006K01Rik,0
2600014E21Rik,0
2610001J05Rik,0
2610002M06Rik,1
2610008E11Rik,0
2610016A17Rik,0
2610020C07Rik,0
2610021A01Rik,0
2610027F03Rik,0
2610028H24Rik,0
2610035D17Rik,0
2610037D02Rik,0
2610044O15Rik8,0
2610206C17Rik,0
2610300M13Rik,0
2610301B20Rik,0
2610318N02Rik,0
2610507B11Rik,1
2610524H06Rik,0
2610528A11Rik,0
2700012I20Rik,0
2700016F22Rik,0
2700033N17Rik,0
2700038G22Rik,0
2700046G09Rik,0
2700049A03Rik,0
2700062C07Rik,0
2700069I18Rik,0
2700081O15Rik,0
2700089I24Rik,0
2700097O09Rik,0
2810001G20Rik,0
2810004N23Rik,1
2810006K23Rik,1
2810021J22Rik,0
2810032G03Rik,0
2810402E24Rik,2
2810403A07Rik,0
2810403G07Rik,0
2810404F17Rik,0
2810405F17Rik,0
2810407A14Rik,0
2810408A11Rik,0
2810414N06Rik,0
2810425M01Rik,0
2810429I04Rik,0
2810433D01Rik,0
2810442N19Rik,0
2810454H06Rik,0
2810455O05Rik,0
2810457G06Rik,0
2810474O19Rik,1
2900009J06Rik,0
2900011O08Rik,0
2900026A02Rik,0
2900045O20Rik,0
2900055J20Rik,0
2900060B14Rik,0
2900076A07Rik,0
2900089D17Rik,1
2900093K20Rik,0
2900097C17Rik,1
3010003L21Rik,0
3100003L05Rik,0
3110001I22Rik,0
3110002H16Rik,0
3110006O06Rik,0
3110009E18Rik,1
3110021N24Rik,0
3110035E14Rik,0
3110040N11Rik,0
3110043O21Rik,2
3110045C21Rik,0
3110062M04Rik,0
3110070M22Rik,0
3110082I17Rik,0
3110082J24Rik,0
3200001D21Rik,0
3222401L13Rik,0
3300002I08Rik,0
3300002P13Rik,0
3300005D01Rik,0
3425401B19Rik,0
3632451O06Rik,0
3830403N18Rik,3
3830406C13Rik,0
3830417A13Rik,0
3830432H09Rik,0
3930402G23Rik,0
4430402I18Rik,0
4632404H12Rik,0
4632411P08Rik,0
4632415L05Rik,0
4732414G09Rik,0
4732419C18Rik,0
4732440D04Rik,0
4732465J04Rik,0
4732471J01Rik,0
4732490B19Rik,0
4732491K20Rik,0
4732496C06Rik,0
4831440D22Rik,0
4831440E17Rik,0
4833403J16Rik,0
4833407H14Rik,0
4833412C05Rik,0
4833413E03Rik,0
4833413G10Rik,0
4833418N02Rik,0
4833420G17Rik,1
4833422C13Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833439L19Rik,0
4833445I07Rik,0
4921504A21Rik,0
4921507P07Rik,0
4921509C19Rik,0
4921509O07Rik,0
4921514A10Rik,0
4921516A02Rik,0
4921524J17Rik,0
4921536K21Rik,0
4922502D21Rik,0
4930402F06Rik,0
4930402H24Rik,0
4930403D09Rik,0
4930403P22Rik,0
4930404H11Rik,0
4930404N11Rik,0
4930407I10Rik,0
4930412M03Rik,0
4930415O20Rik,0
4930425P05Rik,0
4930426D05Rik,0
4930426I24Rik,0
4930426L09Rik,0
4930428O21Rik,0
4930429F24Rik,0
4930430E12Rik,0
4930430F08Rik,0
4930431P22Rik,0
4930432J09Rik,0
4930432K21Rik,0
4930434O05Rik,0
4930435F18Rik,0
4930438A08Rik,0
4930440I19Rik,0
4930442H23Rik,0
4930444A19Rik,0
4930444G20Rik,0
4930444M15Rik,0
4930444P10Rik,0
4930445E18Rik,0
4930445N18Rik,0
4930447C04Rik,0
4930448A20Rik,0
4930451E10Rik,0
4930452G13Rik,0
4930453C13Rik,0
4930453N24Rik,2
4930455G09Rik,0
4930458B22Rik,0
4930458D05Rik,0
4930459C07Rik,0
4930461G14Rik,0
4930463O16Rik,0
4930469K13Rik,0
4930471E19Rik,0
4930473O22Rik,0
4930474N05Rik,0
4930477G07Rik,0
4930478K11Rik,0
4930480K23Rik,0
4930480M12Rik,0
4930481A15Rik,0
4930486L24Rik,0
4930488L21Rik,0
4930500F10Rik,0
4930500M09Rik,0
4930503B20Rik,0
4930503L19Rik,0
4930505N22Rik,0
4930507D05Rik,0
4930509E16Rik,0
4930509G22Rik,0
4930509K18Rik,0
4930512H18Rik,0
4930512J16Rik,0
4930513N10Rik,0
4930515G01Rik,0
4930517O19Rik,0
4930518I15Rik,0
4930519G04Rik,0
4930519P11Rik,0
4930522L14Rik,0
4930523C07Rik,0
4930524B15Rik,0
4930524J08Rik,1
4930524O07Rik,0
4930528D03Rik,0
4930532G15Rik,0
4930532I03Rik,0
4930533K18Rik,0
4930534D22Rik,0
4930534H03Rik,0
4930535E02Rik,0
4930535L15Rik,0
4930537H20Rik,0
4930539E08Rik,0
4930539J05Rik,0
4930540M05Rik,0
4930542C12Rik,0
4930544D05Rik,0
4930544F09Rik,0
4930544M13Rik,0
4930545L23Rik,0
4930546K05Rik,0
4930548H24Rik,0
4930549C15Rik,0
4930550C14Rik,0
4930551L18Rik,0
4930551O13Rik,0
4930552P12Rik,0
4930553P18Rik,0
4930555A03Rik,0
4930555F03Rik,0
4930556G22Rik,0
4930556J02Rik,0
4930556J24Rik,0
4930558N11Rik,0
4930562A09Rik,0
4930562C15Rik,0
4930562F07Rik,0
4930563D23Rik,0
4930563J15Rik,0
4930565D16Rik,0
4930567K12Rik,0
4930568A12Rik,0
4930568G15Rik,0
4930570G19Rik,0
4930570N18Rik,0
4930572G02Rik,0
4930578C19Rik,0
4930578G10Rik,0
4930579C12Rik,0
4930579G18Rik,0
4930579G24Rik,0
4930580E04Rik,0
4930589L23Rik,0
4930590J08Rik,0
4930592C13Rik,0
4930594M22Rik,0
4930594O21Rik,0
4930595D18Rik,0
4930597A21Rik,0
4930599N23Rik,0
4931403G20Rik,0
4931406B18Rik,0
4931406C07Rik,0
4931406P16Rik,0
4931407E12Rik,0
4931409K22Rik,0
4931413I07Rik,0
4931414P19Rik,0
4931423N10Rik,0
4931428F04Rik,0
4931428L18Rik,0
4931431C16Rik,0
4931440F15Rik,0
4931440J10Rik,0
4932411N23Rik,0
4932416K20Rik,0
4932422M17Rik,0
4932435O22Rik,0
4932438A13Rik,0
4932438H23Rik,0
4932443I19Rik,0
4932702P03Rik,0
4933400C23Rik,0
4933402N22Rik,0
4933404O12Rik,0
4933405D12Rik,0
4933405E24Rik,0
4933405L10Rik,0
4933406B17Rik,0
4933406C10Rik,0
4933406I18Rik,0
4933406P04Rik,0
4933407L21Rik,0
4933408B17Rik,0
4933408J17Rik,0
4933408N05Rik,0
4933411E06Rik,0
4933411E08Rik,0
4933412O06Rik,0
4933413J09Rik,0
4933415A04Rik,0
4933415F23Rik,0
4933416C03Rik,0
4933417A18Rik,0
4933417D19Rik,0
4933417E11Rik,0
4933422A05Rik,0
4933423P22Rik,0
4933424G06Rik,0
4933424M12Rik,0
4933427D14Rik,0
4933427E11Rik,0
4933427J07Rik,0
4933428P19Rik,0
4933429H19Rik,0
4933430I17Rik,0
4933430M04Rik,0
4933431E20Rik,0
4933431G14Rik,0
4933431J24Rik,0
4933432I03Rik,0
4933432I09Rik,0
4933432K03Rik,0
4933433G15Rik,0
4933433G19Rik,0
4933434E20Rik,0
4933435G04Rik,0
4933440M02Rik,0
5031415H12Rik,0
5031425E22Rik,0
5031425F14Rik,0
5031439G07Rik,2
5033403F01Rik,0
5033406O09Rik,0
5033417F24Rik,0
5033421B08Rik,0
5033428I22Rik,0
5033430I15Rik,0
5330416C01Rik,0
5330417C22Rik,0
5330426L24Rik,0
5330439M10Rik,0
5430402O13Rik,0
5430403G16Rik,0
5430416N02Rik,1
5430419D17Rik,0
5430421F17Rik,0
5430425K12Rik,0
5430427N15Rik,0
5430427O19Rik,0
5430431A17Rik,0
5430434I15Rik,1
5430440P10Rik,0
5530401A14Rik,0
5730403I07Rik,0
5730409E04Rik,0
5730419F03Rik,0
5730422E09Rik,0
5730455P16Rik,0
5730480H06Rik,0
5730507C01Rik,0
5730559C18Rik,0
5830416I19Rik,0
5830432E09Rik,3
5830454E08Rik,0
5830468F06Rik,0
5930412G12Rik,0
5930430L01Rik,0
5930438M14Rik,0
6030408B16Rik,0
6030419C18Rik,1
6030443J06Rik,0
6030445D17Rik,0
6030458C11Rik,0
6030468B19Rik,0
6030471H07Rik,0
6230400D17Rik,0
6330403K07Rik,0
6330403L08Rik,0
6330403N20Rik,0
6330418K02Rik,0
6330562C20Rik,0
6430531B16Rik,0
6430548M08Rik,0
6430550D23Rik,0
6430571L13Rik,0
6430573F11Rik,0
6430573P05Rik,0
6430584L05Rik,0
6530409C15Rik,0
6530437J22Rik,0
6720427I07Rik,0
6720489N17Rik,0
8030423F21Rik,0
8030442B05Rik,0
8030462N17Rik,0
8030474K03Rik,0
8430408G22Rik,0
8430423G03Rik,0
8430432A02Rik,0
8430436N08Rik,0
9030025P20Rik,0
9030612E09Rik,0
9030624G23Rik,0
9030624J02Rik,1
9130008F23Rik,1
9130011E15Rik,0
9130015A21Rik,0
9130019O22Rik,0
9130023H24Rik,0
9130204K15Rik,0
9130221H12Rik,0
9130230L23Rik,0
9130401M01Rik,0
9130410C08Rik,0
9130604C24Rik,0
9230102K24Rik,0
9230104M06Rik,0
9230105E05Rik,0
9230110C19Rik,1
9230111E07Rik,0
9230112J17Rik,0
9230116L04Rik,0
9330020H09Rik,1
